area_code,area_name,census_geography,country_of_birth_all,europe_inc_uk,united_kingdom_channel_iom,england,northern_ireland,scotland,wales,united_kingdom_unspecified,channel_islands_isle_of_man,ireland,other_europe_total,eu_countries_total,germany,lithuania,poland,romania,eu_countries_other,rest_of_europe_total,turkey,europe_other,africa_total,north_africa,central_and_western_africa,nigeria,other_central_and_western_africa_other,south_and_eastern_africa,kenya,south_africa,zimbabwe,south_and_eastern_africa_other,middle_east_and_asia_total,middle_east,iran,middle_east_other,eastern_asia,china,hong_kong,eastern_asia_other,southern_asia,bangladesh,india,pakistan,southern_asia_other,south_east_asia,central_asia,americas_and_the_caribbean_total,north_americas_and_the_caribbean,the_caribbean,united_states_of_america,north_america_other,central_america,south_america,antarctica_and_oceania_total,australia,antarctica_and_oceania_other,country_of_birth_other,uk_total,europe_total,rest_of_world_total,uk_total_perc,europe_total_perc,rest_of_world_total_perc,centroid_x,centroid_y
W02000409,Cardiff 043,msoa,5886,5755,5658,420,12,27,5195,4,5,27,65,64,15,4,15,3,27,1,0,1,42,7,14,7,7,21,1,8,4,8,46,8,0,8,7,2,5,0,23,10,7,4,2,8,0,35,29,18,7,4,2,4,8,5,3,0,5658,98,131,96.1,1.7,2.2,312298.2939946976,175499.46115497436
W02000411,Cardiff 045,msoa,6454,6283,6116,435,13,27,5641,0,2,26,139,127,26,0,38,2,61,12,4,8,52,9,10,2,8,33,2,9,3,19,87,12,0,12,10,2,4,4,57,7,24,17,9,8,0,24,15,11,0,4,3,6,8,6,2,0,6116,179,171,94.8,2.8,2.6,312929.362842845,175344.27200916177
W02000366,Newport 020,msoa,8167,7831,7618,1431,25,74,6083,5,3,30,180,165,37,9,45,4,70,15,3,12,89,15,15,8,7,59,4,28,15,12,195,25,1,24,52,12,10,30,97,3,74,19,1,21,0,38,28,7,15,6,1,9,14,10,4,0,7618,228,336,93.3,2.8,4.1,326833.09589914547,184132.50562584517
W02000377,Cardiff 011,msoa,7125,6742,6495,972,14,45,5463,1,3,32,212,192,35,2,71,1,83,20,11,9,92,18,20,7,13,54,4,8,14,28,238,79,6,73,48,11,18,19,69,6,42,19,2,42,0,33,28,8,14,6,1,4,20,6,14,0,6495,267,383,91.2,3.7,5.4,324086.03961420053,179997.14018928944
W01001945,Cardiff 048D,lsoa,1303,1127,1025,353,8,13,650,1,2,9,91,85,6,3,13,4,59,6,0,6,31,2,12,9,3,17,1,12,2,2,124,23,9,14,20,10,6,4,72,2,62,3,5,9,0,19,15,0,12,3,0,4,2,2,0,0,1025,108,176,78.7,8.3,13.5,317985.240791411,173170.06166257316
W01001762,Cardiff 046D,lsoa,1745,1422,1307,151,1,8,1147,0,0,14,101,81,6,4,22,0,49,20,7,13,131,27,10,1,9,94,1,4,9,80,169,42,3,39,12,5,6,1,108,20,22,40,26,7,0,20,18,13,3,2,1,1,3,3,0,0,1307,135,323,74.9,7.7,18.5,317847.6588320238,174330.72231915547
W01001761,Cardiff 046C,lsoa,1790,1430,1310,200,4,16,1090,0,0,16,104,97,3,7,24,1,62,7,4,3,82,8,13,4,9,61,4,4,4,49,267,44,10,34,15,8,5,2,182,41,27,101,13,26,0,10,10,3,6,1,0,0,1,1,0,0,1310,127,360,73.2,7.1,20.1,317770.376610388,174807.87490715488
W01001760,Cardiff 046B,lsoa,1693,1427,1365,164,1,10,1190,0,1,3,58,46,5,1,7,3,30,12,8,4,79,9,13,6,7,57,8,5,0,44,167,52,5,47,20,20,0,0,89,25,21,40,3,6,0,19,19,8,9,2,0,0,1,1,0,0,1365,74,266,80.6,4.4,15.7,318271.7779509862,174597.32094699456
W01001768,Cardiff 044E,lsoa,1691,1203,1051,149,0,5,897,0,0,5,147,132,5,2,41,5,79,15,6,9,133,13,13,4,9,107,5,2,8,92,340,40,1,39,30,18,11,1,258,60,14,172,12,9,3,12,10,5,3,2,0,2,3,2,1,0,1051,167,488,62.2,9.9,28.9,317795.73532268766,175114.46946316413
W01001765,Cardiff 044B,lsoa,1418,1094,986,155,0,7,824,0,0,6,102,97,6,4,17,0,70,5,3,2,94,26,6,1,5,62,14,2,3,43,217,10,2,8,7,3,2,2,199,27,68,81,23,1,0,10,7,4,3,0,0,3,3,0,3,0,986,113,324,69.5,8.0,22.8,318034.9700517446,175236.83380225793
