area_code,area_name,census_geography,all_households,owned,own_outright,own_mortgage,shared_own,rent_social,rent_council,rent_other,private_rent,private_landlord,private_other,rent_free,owned_perc,rent_social_perc,private_rent_perc,centroid_x,centroid_y
W01001731,Cardiff 008B,lsoa,534,468,244,224,1,2,0,2,55,50,5,8,87.6,0.4,10.3,318638.2345261434,181084.84642271526
W01001736,Cardiff 008C,lsoa,601,554,327,227,0,3,1,2,36,33,3,8,92.2,0.5,6.0,319343.6434955176,181610.99103171675
W01001946,Cardiff 049C,lsoa,707,198,52,146,5,268,170,98,214,205,9,22,28.0,37.9,30.3,317923.7678766262,174071.87499002845
W01001767,Cardiff 044D,lsoa,691,360,135,225,2,112,60,52,208,194,14,9,52.1,16.2,30.1,317501.3183257516,175247.02123918198
W01001766,Cardiff 044C,lsoa,685,379,161,218,0,100,36,64,186,171,15,20,55.3,14.6,27.2,317493.494488932,175556.80659604576
W01001764,Cardiff 044A,lsoa,603,290,135,155,3,143,26,117,156,146,10,11,48.1,23.7,25.9,317582.16521547025,175608.81513239193
W01001855,Cardiff 042A,lsoa,685,300,124,176,2,199,38,161,173,156,17,11,43.8,29.1,25.3,317192.6824188151,176163.8731885365
W01001857,Cardiff 042C,lsoa,843,280,126,154,5,319,154,165,217,206,11,22,33.2,37.8,25.7,317086.3042044775,176298.3240899503
W01001856,Cardiff 042B,lsoa,776,223,109,114,5,196,73,123,327,310,17,25,28.7,25.3,42.1,317643.1085447294,176156.11702926556
W01001862,Cardiff 042D,lsoa,707,247,133,114,3,81,12,69,364,353,11,12,34.9,11.5,51.5,317497.8520257142,176378.67708085806
W01001721,Cardiff 032A,lsoa,594,103,66,37,3,119,53,66,362,328,34,7,17.3,20.0,60.9,317751.8346860609,177680.40022308216
