area_code,area_name,census_geography,all_families,no_children,one_child_under_4,one_child_5_to_11,one_child_12_to_18,two_children_under_4,two_children_5_to_11,two_children_12_to_18,three_children_under_4,three_children_5_to_11,three_children_12_to_18,one_child_all,two_children_all,three_children_all,one_child_all_perc,two_children_all_perc,three_children_all_perc,centroid_x,centroid_y
W01001797,Cardiff 005C,lsoa,439,272,22,15,40,23,27,17,10,13,0,77,67,23,17.5,15.3,5.2,317582.2117757669,182370.85211540625
W01001809,Cardiff 017A,lsoa,379,216,29,18,31,19,16,16,18,15,1,78,51,34,20.6,13.5,9.0,319681.907778889,180326.85262021105
W01001810,Cardiff 017B,lsoa,468,204,31,33,42,44,40,14,33,26,1,106,98,60,22.6,20.9,12.8,320191.3922935975,180489.89836612207
W01001813,Cardiff 017D,lsoa,404,183,57,21,37,32,26,14,21,11,2,115,72,34,28.5,17.8,8.4,320072.321371389,180013.54439909806
W01001814,Cardiff 017E,lsoa,406,236,37,22,30,29,16,14,12,7,3,89,59,22,21.9,14.5,5.4,320046.6103454035,179549.89615646677
W01001815,Cardiff 008D,lsoa,420,235,26,12,35,28,32,24,14,10,4,73,84,28,17.4,20.0,6.7,320011.4578494053,181584.97682839242
W01001819,Cardiff 014D,lsoa,728,447,33,23,71,39,50,32,13,16,4,127,121,33,17.4,16.6,4.5,309961.1694630933,182346.64748400394
W01001820,Cardiff 006A,lsoa,361,189,25,17,33,25,33,15,4,16,4,75,73,24,20.8,20.2,6.6,311693.2517174133,183218.34034321114
W01001896,Cardiff 020E,lsoa,454,268,26,7,29,34,45,23,11,6,5,62,102,22,13.7,22.5,4.8,315249.6479761583,180480.3603847506
W01001840,Cardiff 007D,lsoa,523,324,36,27,47,22,24,17,15,10,1,110,63,26,21.0,12.0,5.0,323119.8482272534,181509.22298488198
W01001802,Cardiff 007A,lsoa,473,298,32,15,48,20,18,16,16,10,0,95,54,26,20.1,11.4,5.5,322574.5956320743,181168.9613219585
W01001879,Cardiff 013A,lsoa,520,210,67,44,35,61,28,23,33,16,3,146,112,52,28.1,21.5,10.0,323637.80557883694,180858.03620307395
W01001880,Cardiff 013B,lsoa,443,139,54,37,49,49,36,12,38,23,6,140,97,67,31.6,21.9,15.1,324169.1784868598,180957.53225814574
W01001113,The Vale of Glamorgan 003A,lsoa,707,421,33,19,47,37,59,36,26,24,5,99,132,55,14.0,18.7,7.8,306236.8773483947,177117.80209097796
W01001135,The Vale of Glamorgan 003C,lsoa,471,301,13,9,46,20,33,17,15,14,3,68,70,32,14.4,14.9,6.8,309437.28714040015,172288.8320071897
W01001240,Rhondda Cynon Taf 026C,lsoa,578,373,42,22,43,30,24,22,10,11,1,107,76,22,18.5,13.1,3.8,312664.80712559214,184979.70168993747
W01001872,Cardiff 038B,lsoa,393,207,46,15,33,25,20,14,14,13,6,94,59,33,23.9,15.0,8.4,320101.256454791,176637.50851963987
W01001874,Cardiff 038D,lsoa,343,137,57,30,33,32,14,9,24,7,0,120,55,31,35.0,16.0,9.0,320137.30289849115,175822.17738833692
W01001694,Cardiff 036A,lsoa,438,205,58,25,29,31,21,14,34,18,3,112,66,55,25.6,15.1,12.6,319770.33786633017,176939.30945680017
W01001870,Cardiff 037A,lsoa,390,220,44,14,23,25,21,12,17,13,1,81,58,31,20.8,14.9,7.9,320570.6143402268,176863.15638893892
W01001698,Cardiff 036E,lsoa,374,204,38,22,27,31,8,8,23,12,1,87,47,36,23.3,12.6,9.6,319933.1675215942,177301.0443730184
W01001871,Cardiff 037B,lsoa,428,179,48,21,56,40,17,13,35,18,1,125,70,54,29.2,16.4,12.6,321103.75706321304,176870.4021991125
W01001869,Cardiff 038A,lsoa,362,210,38,10,35,28,19,7,11,3,1,83,54,15,22.9,14.9,4.1,320390.2191841855,177262.7097622887
W01001697,Cardiff 036D,lsoa,377,222,35,20,23,19,16,8,22,10,2,78,43,34,20.7,11.4,9.0,320347.99810449546,177368.79813788252
