A,B,C,D,E
16426054|St Isan Road Surgery|05280369|317498|180491|1|100100893725|osgb1000027187258|15|5801843|1|16.9|46|St Isan Road|Heath, Cardiff|South Glamorgan|CF14 4UU|Caerdydd - Cardiff|02920612333|||||Wilmington Healthcare Ltd|2024-12-01,,,
16427421|Taffs Well Medical Practice|05280369|312201|183534|1|10090595326|osgb1000026988709|5|47403795|1|89.8||Cardiff Road|Taff's Well|Mid Glamorgan|CF15 7PL|Rhondda Cynon Taf - Rhondda Cynon Taf|02920820320|||||Wilmington Healthcare Ltd|2024-12-01,,,,
16427636|Llandaff Fields Medical Practice|05280369|317072|176424|1|200002932485|osgb1000027175986|6|5802093|1|34.7||Wellington Street|Riverside, Cardiff|South Glamorgan|CF11 9SH|Caerdydd - Cardiff|02920029938|||||Wilmington Healthcare Ltd|2024-12-01,,,
16428673|Dr Jones & Partners|05280369|323606.2|181270.5|1|200002934326|osgb1000027380288|5|5800535|1|37.2||Crickhowell Road|Trowbridge, Cardiff|South Glamorgan|CF3 0EF|Caerdydd - Cardiff|02920799921|||||Wilmington Healthcare Ltd|2024-12-01,,,
16428675|Dr Pathy & Partners|05280369|318030.4|178024.5|1|100100898193|osgb1000027227654|4|5800331|1|15.7|137-139|Cathays Terrace|Cathays, Cardiff|South Glamorgan|CF24 4HU|Caerdydd - Cardiff|02920353020|||||Wilmington Healthcare Ltd|2024-12-01,,,
103903634|Princess Street Care Home|05280373|319647|177583|1|100100060834|osgb1000027255239|3|5801652|1|16.6|40|Princes Street|Roath, Cardiff|South Glamorgan|CF24 3SL|Caerdydd - Cardiff|02920465672|||||Wilmington Healthcare Ltd|2024-12-01,,,
103903972|Conway House|05280373|319365.6|177902.7|1|100100054831|osgb1000027257049|3|5804703|1|21|Conway House 6|Pen-y-Lan Road|Roath, Cardiff|South Glamorgan|CF24 3PF|Caerdydd - Cardiff|02920461973|||||Wilmington Healthcare Ltd|2024-12-01,,,
161673413|B Braun Avitum - Cardiff South Dialysis Unit|05280365|316894.7|173867.9|1|10094241450|osgb5000005191197119|1|5801556|1|69.6|Unit 1 Riverside Park|Penarth Road|Leckwith, Cardiff|South Glamorgan|CF11 8TT|Caerdydd - Cardiff|02920726440|||||Wilmington Healthcare Ltd|2024-12-01,,,
161673412|B Braun Avitum - Pentwyn Satellite Dialysis Unit|05280365|321202.5|181964|1|10023546516|osgb1000002487013940|3|5800536|1|32|Unit 1 to 4 Avenue Industrial Park|Croescadarn Close|Pontprennau, Cardiff|South Glamorgan|CF23 8HE|Caerdydd - Cardiff|02920743388|||||Wilmington Healthcare Ltd|2024-12-01,,,
103918694|Grangelodge Care Home|05280373|317626|174785|1|100101053142|osgb1000027169216|3|5800424|1|25|Wilfred Brook House|Clive Street|Grangetown, Cardiff|South Glamorgan|CF11 7HL|Caerdydd - Cardiff|02920235414|||||Wilmington Healthcare Ltd|2024-12-01,,,
103975140|Lindisfarne House|05280373|317185.5|176913.3|1|10093729311|osgb5000005293479203|1|5800332|1|24|71|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9HE|Caerdydd - Cardiff|02920342949|||||Wilmington Healthcare Ltd|2024-12-01,,,
127482953|Spire Cardiff Hospital|05280371|320897|181978|1|10002508287|osgb1000027295361|12|5800537|1|86.1||Croescadarn Road|Pontprennau, Cardiff|South Glamorgan|CF23 8XL|Caerdydd - Cardiff|02920735515|www.spirehealthcare.com|Spire Healthcare|||Wilmington Healthcare Ltd|2024-12-01,,,
129797403|Nuffield Health Cardiff Bay|05280371|317405|173378|1|10008904818|osgb1000002487449657|3|5803897|1|25.2||Dunleavy Drive|Grangetown, Cardiff|South Glamorgan|CF11 0SN|Caerdydd - Cardiff|02920005696|www.nuffieldhealth.com/hospitals|Nuffield Health|||Wilmington Healthcare Ltd|2024-12-01,,,
160734611|University Hospital of Wales Dialysis Unit|05280365|317518|179363|1|10014197743|osgb1000000277211420|46|5803802|1|133.4|University Hospital of Wales|Heath Park Way|Heath, Cardiff|South Glamorgan|CF14 4XW|Caerdydd - Cardiff|02920747747|||||Wilmington Healthcare Ltd|2024-12-01,,,
20131421|Place of Worship|06340459|317331|175538|1|10008904662|osgb1000027171938|3|5802763|3|18||||South Glamorgan|CF11|Caerdydd - Cardiff||||Religion|Not Identified Generic Term|Ordnance Survey|2024-12-01,,,,
20048295|Rowan House Assessment & Treatment Unit|05280372|314128.8|176353.2|1|10090718911|osgb1000027034476|4|5803922|1|53.7|Learning Disabilities Directorate Rowan House|Treseder Way|Caerau, Cardiff|South Glamorgan|CF5 5WF|Caerdydd - Cardiff|02920555464|||||Wilmington Healthcare Ltd|2024-12-01,,,
