area_code,area_name,census_geography,rooms_all,rooms_2_plus,rooms_1_plus,rooms_0,rooms_1_minus,rooms_2_minus,rooms_2_plus_perc,rooms_1_plus_perc,rooms_0_perc,rooms_1_minus_perc,rooms_2_minus_perc,centroid_x,centroid_y
W01001841,Cardiff 003A,lsoa,740,481,151,93,13,2,65.0,20.4,12.6,1.8,0.3,320329.08775458595,182754.37346167152
W01001882,Cardiff 011C,lsoa,739,362,228,116,26,7,49.0,30.9,15.7,3.5,0.9,324870.43581255013,180976.1092935418
W01001843,Cardiff 003C,lsoa,808,603,120,65,16,4,74.6,14.9,8.0,2.0,0.5,322733.18905566714,182591.84120133283
W01001842,Cardiff 003B,lsoa,726,404,193,114,11,4,55.6,26.6,15.7,1.5,0.6,321240.7082033047,183433.37667911957
W01001803,Cardiff 015A,lsoa,712,300,180,179,48,5,42.1,25.3,25.1,6.7,0.7,322211.1570869292,180247.56574680016
W01001805,Cardiff 015C,lsoa,645,309,168,124,35,9,47.9,26.0,19.2,5.4,1.4,321596.4101043559,180453.91432741637
W01001811,Cardiff 009A,lsoa,540,264,118,107,43,8,48.9,21.9,19.8,8.0,1.5,320892.52513633046,180477.00077959005
W01001823,Cardiff 029B,lsoa,521,411,66,23,18,3,78.9,12.7,4.4,3.5,0.6,319687.90128276823,178108.21388617714
W01001865,Cardiff 022C,lsoa,515,357,100,46,9,3,69.3,19.4,8.9,1.7,0.6,321965.15128197754,178202.9104247234
W01001876,Cardiff 037D,lsoa,678,233,179,181,71,14,34.4,26.4,26.7,10.5,2.1,320812.29467152053,177348.12850156237
W01001799,Cardiff 001D,lsoa,520,378,83,50,7,2,72.7,16.0,9.6,1.3,0.4,318474.7023998587,182283.07708122753
W01001844,Cardiff 003D,lsoa,841,397,221,167,52,4,47.2,26.3,19.9,6.2,0.5,320785.69507312286,182065.03534313262
W01001783,Cardiff 026E,lsoa,508,373,98,32,4,1,73.4,19.3,6.3,0.8,0.2,313850.8666340961,179335.12842716696
W01001790,Cardiff 023F,lsoa,500,270,128,69,22,11,54.0,25.6,13.8,4.4,2.2,315265.0054912311,179229.61493339727
W01001757,Cardiff 025C,lsoa,571,256,114,132,50,19,44.8,20.0,23.1,8.8,3.3,317275.0227764844,178985.37149432627
W01001774,Cardiff 018D,lsoa,541,454,62,17,7,1,83.9,11.5,3.1,1.3,0.2,317099.3418083176,179966.96331610254
W01001733,Cardiff 019B,lsoa,586,376,90,54,54,12,64.2,15.4,9.2,9.2,2.0,319266.44970719743,179964.98609239905
W01001812,Cardiff 017C,lsoa,484,307,102,59,11,5,63.4,21.1,12.2,2.3,1.0,319881.2394315599,180234.27738073564
W01001806,Cardiff 015D,lsoa,799,372,294,104,19,10,46.6,36.8,13.0,2.4,1.3,321317.65130765154,179803.20573472613
W01001867,Cardiff 016B,lsoa,545,242,145,117,28,13,44.4,26.6,21.5,5.1,2.4,322497.6754532895,179611.50930539166
W01001895,Cardiff 010D,lsoa,851,282,248,234,71,16,33.1,29.1,27.5,8.3,1.9,314073.8891558276,180705.13773265426
W01001848,Cardiff 012B,lsoa,618,497,85,29,6,1,80.4,13.8,4.7,1.0,0.2,316282.2242649768,180968.9091454483
W01001769,Cardiff 018A,lsoa,617,546,49,18,3,1,88.5,7.9,2.9,0.5,0.2,317717.7562848745,180513.37820103212
W01001731,Cardiff 008B,lsoa,534,446,56,27,5,0,83.5,10.5,5.1,0.9,0.0,318638.2345261434,181084.84642271526
W01001736,Cardiff 008C,lsoa,601,464,105,28,4,0,77.2,17.5,4.7,0.7,0.0,319343.6434955176,181610.99103171675
W01001946,Cardiff 049C,lsoa,707,112,220,258,97,20,15.8,31.1,36.5,13.7,2.8,317923.7678766262,174071.87499002845
W01001767,Cardiff 044D,lsoa,691,212,205,182,70,22,30.7,29.7,26.3,10.1,3.2,317501.3183257516,175247.02123918198
W01001766,Cardiff 044C,lsoa,685,282,162,157,66,18,41.2,23.6,22.9,9.6,2.6,317493.494488932,175556.80659604576
W01001764,Cardiff 044A,lsoa,603,250,133,124,66,30,41.5,22.1,20.6,10.9,5.0,317582.16521547025,175608.81513239193
W01001855,Cardiff 042A,lsoa,685,265,149,167,60,44,38.7,21.8,24.4,8.8,6.4,317192.6824188151,176163.8731885365
W01001857,Cardiff 042C,lsoa,843,224,189,275,120,35,26.6,22.4,32.6,14.2,4.2,317086.3042044775,176298.3240899503
W01001856,Cardiff 042B,lsoa,776,172,112,270,161,61,22.2,14.4,34.8,20.7,7.9,317643.1085447294,176156.11702926556
W01001862,Cardiff 042D,lsoa,707,246,133,182,89,57,34.8,18.8,25.7,12.6,8.1,317497.8520257142,176378.67708085806
W01001721,Cardiff 032A,lsoa,594,144,119,201,97,33,24.2,20.0,33.8,16.3,5.6,317751.8346860609,177680.40022308216
W01001719,Cardiff 028B,lsoa,534,272,97,107,46,12,50.9,18.2,20.0,8.6,2.2,317707.5465713019,178062.46691481525
W01001939,Cardiff 032F,lsoa,627,59,108,217,196,47,9.4,17.2,34.6,31.3,7.5,317959.04553788126,176992.19724434696
W01001755,Cardiff 025A,lsoa,536,274,109,110,30,13,51.1,20.3,20.5,5.6,2.4,317455.84062947636,178602.61523126415
W01001758,Cardiff 025D,lsoa,652,328,144,113,50,17,50.3,22.1,17.3,7.7,2.6,317672.3119235572,178795.10386031188
W01001771,Cardiff 018C,lsoa,688,526,87,56,17,2,76.5,12.6,8.1,2.5,0.3,317163.0500403451,180498.7621005363
W01001793,Cardiff 002A,lsoa,567,319,151,87,10,0,56.3,26.6,15.3,1.8,0.0,317204.3921053238,183268.24817401677
W01001657,Newport 020C,lsoa,547,460,55,23,9,0,84.1,10.1,4.2,1.6,0.0,324419.52194464067,183719.67563788543
W01001804,Cardiff 015B,lsoa,643,309,139,148,37,10,48.1,21.6,23.0,5.8,1.6,321906.340127758,181006.294551031
W01001881,Cardiff 013C,lsoa,645,249,170,163,48,15,38.6,26.4,25.3,7.4,2.3,323170.7502957466,181225.0387263099
W01001877,Cardiff 011A,lsoa,721,358,216,97,36,14,49.7,30.0,13.5,5.0,1.9,324244.8131614613,181793.53931799452
W01001850,Cardiff 012C,lsoa,790,637,99,43,10,1,80.6,12.5,5.4,1.3,0.1,316035.1582275457,181230.596810674
